country,total_cases,new_cases,total_deaths,new_deaths,excess_mortality,hosp_patients,weekly_hosp_admissions,icu_patients,weekly_icu_admissions,stringency_index,reproduction_rate,total_tests,new_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,hospital_beds_per_thousand,human_development_index
Afghanistan,151164.36689419794,133.79635949943116,5776.0972696245735,4.549488054607509,,,,,,27.3945802919708,1.0486268316831684,924645.2,,14.396415886206896,20.444351133793102,11139813.463576159,9916526.714285715,9731218.75,1662878.406779661,9784.375,40578846.0,62.215546,16.752,61.9824,1516.2733,,10.9,0.39,0.46199999999999997
Albania,218410.65415244596,191.80602957906711,2629.811717861206,2.0523321956769056,19.24416666666667,,,,,41.78210766423358,1.028483448275862,559644.2569444445,2241.4861111111113,19.19465708462854,38.06503697886364,1402001.0496453901,851560.2751091704,760120.7716894977,215169.61176470589,8242.389534883721,2827615.0,103.197624,35.943,76.4626,15492.067,0.021277364,10.2,2.89,0.789
Algeria,195842.67064846418,154.81968145620021,5112.2138794084185,3.9141069397042094,16.833541666666665,,,20.137135922330096,,48.36772810218978,1.0034344149459193,230553.0,,,,10657044.857142856,5908922.444444444,5136519.130434782,355090.2727272727,56928.666666666664,45477391.0,19.09418,27.983,76.3767,11198.233,0.0,7.1,1.9,0.745
Andorra,30187.827645051195,27.312286689419796,125.81569965870307,0.09044368600682594,22.06625,,,,,33.4867700729927,0.8729188976377952,181496.1447368421,,13.203677634030418,14.249625022296014,91347.8125,42868.83050847457,39471.15094339623,39027.346153846156,2401.0,79722.0,169.62128,42.832,80.3684,,,9.7,,0.884
Angola,70233.12855517634,61.13879408418658,1355.0602957906713,1.101820250284414,,,,,,51.621733576642335,0.7707535256410256,1428346.1,5627.2,2.407550338676259,299.659885265942,13206559.231481481,8417522.095238095,4904946.134020618,1392860.4375,,35635028.0,28.583483,16.39,61.64339999999999,5906.1157,31.122004999999998,4.6,,0.591
Antigua and Barbuda,5530.457337883959,5.179749715585893,95.04891922639364,0.08304891922639362,-4.339583333333334,,,,,,0.6427309552599758,7826.583333333333,,7.899864265729168,51.77927324945055,78766.18947368421,44326.14893617021,38786.0243902439,9838.0,841.2,92851.0,211.025,35.072,78.4968,22321.87,,11.699999999999998,2.89,0.826
Argentina,6632960.598407281,5748.807736063709,98025.15301478954,74.34414106939704,18.536944444444444,,,2934.584234930448,,52.42909671532847,0.9698439096267191,13807351.844827587,42142.51724137931,20.42463957451869,8.337478620484848,83344109.37866667,33679399.09066667,26509186.275555555,21011771.140444443,104055.18327402136,45407904.0,16.592274,31.739,75.3899,22461.440999999995,,5.4,4.99,0.849
Armenia,315008.0096700796,257.6882821387941,6211.126279863482,4.993174061433447,23.439791666666668,,,,,,0.8804338567222767,1187205.780167264,3706.4121863799282,13.396694123459268,40.67837298402439,1087489.111111111,562018.9787234042,471215.358490566,29142.6,,2880883.0,101.19012999999998,35.815,72.0431,16057.007,0.7810783000000001,5.599999999999999,4.2,0.7859999999999999
Australia,5870559.478953356,6746.963026166098,11464.49544937429,14.406374501992032,5.589617224880383,1370.034892353378,,72.37045285820342,,47.19702554744526,1.095554766536965,26907363.238663483,87650.53643966548,8.775570725091995,1745.5469532125448,34499815.07334526,12490235.382716049,11745325.082452431,6290721.969964664,117407.07142857143,26200987.0,3.406256,37.51200000000001,84.5265,51090.26,0.49709398,6.400000000000001,3.84,0.946
Austria,3310266.5489192265,3460.102389078498,15398.069397042093,12.81797497155859,8.668133971291866,1199.3153456998314,,171.58347386172008,,49.143120437956206,1.0639837548638131,61916210.08787129,234494.9801242236,3.5488970206703567,262.82249959864697,14598677.123076923,5701742.561538462,5265634.938461538,3334139.030769231,,9064679.0,109.84827,42.831999999999994,81.57969999999999,55867.184,0.4858222,4.6,7.2700000000000005,0.926
Azerbaijan,562432.8196814562,475.81001137656426,7044.285551763367,5.889078498293515,17.649166666666666,,,,,59.99155109489052,0.9760111660079052,4821270.412017168,11442.9,9.494374845928572,73.3981132247619,8372882.847619047,3852063.479115479,3356640.5220588236,2360386.4,28814.698924731183,10295307.0,124.56512,32.062,69.3658,15094.284,,5.6,4.82,0.76
Bahamas,25207.854379977245,22.256541524459614,568.5978384527873,0.48293515358361777,19.0675,,,,,52.295,0.9665389937106919,192901.84732824427,475.39130434782606,13.137550499267398,18.091405131501833,214331.17647058822,110507.19354838709,95872.90909090909,16704.955555555556,3086.0,397544.0,39.714684,34.234,71.5983,34663.496,,8.8,2.96,0.82
Bahrain,438378.0790671217,396.2536973833902,1125.480659840728,0.8737201365187713,,,,,,37.79302919708029,1.0213779182879377,3694617.4676375403,12138.087934560328,6.170042101059524,81.68135914392857,2582541.230490018,989425.8528428094,1034502.641509434,975773.9831932773,5659.959770114942,1533459.0,1941.0874,31.682999999999996,78.7605,51854.715,,11.3,1.74,0.888
Bangladesh,1437244.2411831627,1166.9300341296928,21408.831626848692,16.77986348122867,,,,,,49.97339416058394,1.015471128871129,5820977.767253045,18702.17050067659,11.385183793666666,21.46747374888889,214753463.4108108,96085090.2123412,90711109.08382066,53991435.55587392,441370.02803738316,169384890.0,1301.259,24.99,72.3811,6263.0044,5.008496,14.2,0.79,0.6699999999999999
Barbados,59023.10750853243,61.90841865756541,333.0443686006826,0.3373151308304892,5.9655555555555555,,,,,47.84323905109489,0.8920569060773481,632558.4166666666,907.2857142857143,24.386674351351353,4.708313138738738,240025.04638218923,128970.88512241055,124168.19126819127,62477.6,609.7151767151768,282324.0,656.56744,38.652,77.57140000000001,15417.297,,14.0,5.97,0.8089999999999999
Belarus,673683.0716723549,565.4368600682594,4882.415813424346,4.048919226393629,20.761333333333333,,,,,23.35875912408759,0.7929056547619048,5623762.896057348,15088.197916666666,6.869615316273183,38.31865865162907,9163032.685714286,3438020.8571428573,2935179.7321428573,2723124.75,,9173241.0,45.199512,40.192,72.438,19092.111,0.0,5.6,10.83,0.801
Belgium,2936007.45221843,2781.1387940841864,26265.865756541523,19.532992036405005,7.297703349282297,1698.7559966914805,922.7514546965918,286.7543424317618,,39.04728102189781,1.123187887596899,14326721.902497027,40803.33531510107,10.823094327464284,26.435293050595238,22156143.80738074,7798285.4168357,7674303.201275046,7116180.769581056,29074.26247689464,11641813.0,384.47202,41.151,81.8787,53287.152,0.02996537,3.6,5.58,0.942
Belize,43504.23663253697,40.65566306203756,482.6985210466439,0.391353811149033,11.825277777777778,,,,,48.01630474452555,0.9533771331058021,296181.9464285714,974.6666666666666,7.923593539430052,29.29227954987013,261177.05389221557,148323.4939759036,135392.09523809524,48356.294117647056,2307.269230769231,402741.0,17.656336,25.521,70.4697,9473.706,,14.5,1.04,0.7
Benin,19072.898179749714,15.947667804323094,122.71615472127418,0.09271899886234357,,,,,,32.174443430656936,0.4830461855670103,604310.0,,,,1803755.5714285714,1624945.15,1352012.5151515151,0.0,,13759507.0,122.02472,17.646,59.821,3435.1716,12.723279,1.1,,0.504
Bhutan,33928.22241183163,35.66382252559727,11.790102389078498,0.011945392491467578,3.5147222222222223,,,,,50.683649635036495,0.8014644469525959,553550.3948717949,2925.9299145299146,0.3491783156333711,2216.2064792142855,943376.4809160306,532536.928,522745.80303030304,555673.6153846154,12676.95588235294,780920.0,20.475092,28.809999999999995,71.815,11595.684,0.0015388478,10.4,1.74,0.681
Bolivia,752423.7690557452,689.5045506257111,16878.732650739476,12.734357224118316,55.63,703.7576335877862,,82.42366412213741,,42.292919708029196,1.0802526315789474,1652665.1447852761,5499.714993804213,20.266318315151512,10.897936148848483,8518640.169463087,4745856.055369128,3712723.6694630873,742779.7684563758,24729.348047538202,12077155.0,11.148486,24.392,63.6304,8244.235,1.9645011,5.5,1.29,0.6980000000000001
Bosnia and Herzegovina,277301.8447098976,229.78384527872583,11418.067690557451,9.329920364050057,15.404375,,,,,38.6827098540146,1.0568180118110237,626761.8742268041,2563.92628992629,16.3292915871118,15.44315709052795,677503.2,449873.8181818182,294415.4285714286,71551.0,46931.0,3204805.0,62.59385,44.559,75.3003,16737.227,0.074978754,9.1,3.49,0.7789999999999999
Botswana,210391.0574516496,188.10921501706486,1902.0733788395905,1.593287827076223,,,,,,36.4909306569343,0.7944678298800437,792510.6585365854,571.3529411764706,9.638828165777255,136.94287702138422,1262834.725,766834.5897435897,786581.1166666667,411431.1,10435.0,2439895.0,4.305216,22.604,61.1409,15518.651,15.426243,5.2,,0.708
Brazil,24701633.546075087,21337.839021615473,514511.5164960182,399.38339021615474,15.84125,,,,,48.54258211678832,1.0905,34192178.00554017,139643.36226415096,45.33355389013378,3.2734731368055554,290831227.4281609,134334298.6063676,108873799.27665706,49669596.174231336,724200.6399371069,210306411.0,25.161867,33.506,72.7504,15093.465,3.5053015,8.8,2.09,0.76
Brunei,156031.1109215017,198.6797497155859,90.58134243458476,0.10295790671217292,10.220833333333333,,,,,39.496021897810216,0.6274865877712031,92899.33333333333,290.5,,,461816.80303030304,231693.2626262626,178294.9696969697,309698.0,2597.35,455374.0,86.40873,31.276,74.6424,58669.902,,11.1,2.85,0.8230000000000001
Bulgaria,832389.4658703072,760.9402730375426,26035.09385665529,22.042662116040955,14.555598086124402,2175.2340425531916,,197.7433155080214,,36.167572992700734,1.0370293713163063,2658262.536723164,8554.25187032419,10.347560944650875,25.958170869326683,3619858.978860294,753369.1150793651,1670445.9344894027,627434.8162162162,4642.054414784394,6825863.0,62.876408,44.154,71.798,26961.291,0.69914126,7.400000000000001,7.45,0.799
Burkina Faso,15765.336746302617,12.597269624573379,274.78839590443687,0.22753128555176336,,,,,,20.494908759124087,0.6016560157790927,313235.4117647059,273.5,7.285463318818182,53.66565395740741,2020382.3333333333,1727294.7222222222,1400740.46875,1014.0,,22509037.0,82.269875,17.041,59.2696,2158.8584,25.277073,2.1,,0.438
Burundi,31648.905574516495,31.117814456459875,10.679749715585894,0.008532423208191127,,,,,,15.849945255474454,0.8606375268817205,1430466.2564102565,3157.5,1.8756329215286625,79.73587885350318,19134.268656716416,17498.45588235294,16869.0,168.56410256410257,76.66666666666667,13321101.0,518.73444,15.672,61.6627,708.1783,62.06575999999999,6.5,0.79,0.42
Cambodia,92248.92491467576,79.25199089874857,2026.976109215017,1.7383390216154722,,,,,,45.121569343065694,0.7957872150644202,2021257.1868131869,6046.679245283019,5.583908844307692,78.206099845,21021513.71583514,9672353.479915433,8742237.411016949,4232727.722891566,90081.33580246914,17201717.0,97.44911000000002,25.596,69.5835,4533.8643,,7.3,0.9,0.6
Cameroon,90164.83390216155,71.26222980659841,1446.8100113765643,1.1228668941979523,,,,,,31.54181569343066,0.4875013875123885,2620328.0,,0.6446230091619047,365.48978420000003,1478198.9523809524,1065306.5,797365.05,368213.1666666667,5145.0,27632771.0,58.456074,17.623,60.3334,3723.5322,22.992219999999996,5.5,,0.587
Canada,2884113.176336746,2741.2144482366325,35222.84300341297,31.652248150256117,6.071291866028709,3576.444368131868,,300.21085164835165,,50.31122262773722,1.0520011650485437,28939633.346522782,75364.24,5.9980957645974335,44.05241076962617,75297393.24446203,25002636.370898716,22021140.833997343,19884532.017418843,82227.54545454546,38821260.0,4.417179,40.253,82.6565,49296.38,0.24863754,7.7,2.52,0.9349999999999999
Cape Verde,43084.922639362914,36.67463026166098,301.0460750853242,0.23720136518771331,10.67125,,,,,48.15736313868613,0.9819791029561672,,589.8902691511387,13.918765452432433,7.967294858918919,434532.1076923077,237051.70491803277,167575.7142857143,311.5,3731.0,519750.0,128.97023,27.322000000000003,74.0518,7379.247599999999,4.5642314,2.1,,0.661
